#==========================#

#  Pan-tilt Lidar scanner  #

#  Scan prompt             #

#==========================#

#

#> Send integer value to use as scan result identifier

# Starting scan run 21

# CSV header:

runId,distance,pan,tilt

21,212,-60,60

21,208,-57,60

21,209,-54,60

21,210,-51,60

21,209,-48,60

21,209,-45,60

21,209,-42,60

21,213,-39,60

21,209,-36,60

21,209,-33,60

21,226,-30,60

21,208,-27,60

21,208,-24,60

21,210,-21,60

21,208,-18,60

21,207,-15,60

21,207,-12,60

21,208,-9,60

21,206,-6,60

21,205,-3,60

21,221,0,60

21,204,3,60

21,204,6,60

21,219,9,60

21,203,12,60

21,203,15,60

21,207,18,60

21,204,21,60

21,202,24,60

21,201,27,60

21,224,30,60

21,201,33,60

21,201,36,60

21,201,39,60

21,201,42,60

21,201,45,60

21,201,48,60

21,221,51,60

21,200,54,60

21,200,57,60

21,208,60,60

21,203,60,55

21,209,57,55

21,190,54,55

21,208,51,55

21,208,48,55

21,209,45,55

21,208,42,55

21,208,39,55

21,207,36,55

21,208,33,55

21,216,30,55

21,209,27,55

21,209,24,55

21,209,21,55

21,209,18,55

21,209,15,55

21,210,12,55

21,211,9,55

21,212,6,55

21,212,3,55

21,218,0,55

21,213,-3,55

21,214,-6,55

21,216,-9,55

21,215,-12,55

21,216,-15,55

21,216,-18,55

21,218,-21,55

21,215,-24,55

21,216,-27,55

21,222,-30,55

21,216,-33,55

21,216,-36,55

21,217,-39,55

21,217,-42,55

21,217,-45,55

21,216,-48,55

21,224,-51,55

21,216,-54,55

21,215,-57,55

21,221,-60,55

21,225,-60,50

21,224,-57,50

21,224,-54,50

21,224,-51,50

21,224,-48,50

21,224,-45,50

21,224,-42,50

21,224,-39,50

21,224,-36,50

21,223,-33,50

21,224,-30,50

21,222,-27,50

21,224,-24,50

21,222,-21,50

21,222,-18,50

21,222,-15,50

21,222,-12,50

21,221,-9,50

21,221,-6,50

21,225,-3,50

21,220,0,50

21,219,3,50

21,222,6,50

21,218,9,50

21,218,12,50

21,219,15,50

21,217,18,50

21,218,21,50

21,218,24,50

21,226,27,50

21,217,30,50

21,217,33,50

21,223,36,50

21,217,39,50

21,216,42,50

21,218,45,50

21,229,48,50

21,217,51,50

21,217,54,50

21,221,57,50

21,210,60,50

21,250,60,45

21,249,57,45

21,250,54,45

21,249,51,45

21,249,48,45

21,252,45,45

21,249,42,45

21,249,39,45

21,248,36,45

21,249,33,45

21,249,30,45

21,248,27,45

21,253,24,45

21,249,21,45

21,249,18,45

21,250,15,45

21,249,12,45

21,250,9,45

21,252,6,45

21,251,3,45

21,252,0,45

21,253,-3,45

21,254,-6,45

21,253,-9,45

21,255,-12,45

21,262,-15,45

21,254,-18,45

21,254,-21,45

21,256,-24,45

21,255,-27,45

21,255,-30,45

21,257,-33,45

21,258,-36,45

21,256,-39,45

21,257,-42,45

21,267,-45,45

21,256,-48,45

21,254,-51,45

21,254,-54,45

21,226,-57,45

21,200,-60,45

21,194,-60,40

21,195,-57,40

21,197,-54,40

21,212,-51,40

21,232,-48,40

21,262,-45,40

21,267,-42,40

21,271,-39,40

21,271,-36,40

21,271,-33,40

21,270,-30,40

21,272,-27,40

21,270,-24,40

21,270,-21,40

21,269,-18,40

21,270,-15,40

21,270,-12,40

21,268,-9,40

21,267,-6,40

21,267,-3,40

21,267,0,40

21,268,3,40

21,266,6,40

21,266,9,40

21,266,12,40

21,265,15,40

21,266,18,40

21,267,21,40

21,274,24,40

21,266,27,40

21,267,30,40

21,270,33,40

21,266,36,40

21,267,39,40

21,268,42,40

21,263,45,40

21,264,48,40

21,266,51,40

21,267,54,40

21,265,57,40

21,266,60,40

21,326,60,35

21,320,57,35

21,322,54,35

21,319,51,35

21,326,48,35

21,320,45,35

21,320,42,35

21,319,39,35

21,327,36,35

21,319,33,35

21,319,30,35

21,319,27,35

21,319,24,35

21,318,21,35

21,320,18,35

21,321,15,35

21,322,12,35

21,323,9,35

21,322,6,35

21,326,3,35

21,327,0,35

21,329,-3,35

21,329,-6,35

21,329,-9,35

21,332,-12,35

21,338,-15,35

21,332,-18,35

21,334,-21,35

21,337,-24,35

21,323,-27,35

21,248,-30,35

21,239,-33,35

21,237,-36,35

21,216,-39,35

21,207,-42,35

21,208,-45,35

21,192,-48,35

21,189,-51,35

21,183,-54,35

21,193,-57,35

21,183,-60,35

21,175,-60,30

21,179,-57,30

21,183,-54,30

21,179,-51,30

21,186,-48,30

21,195,-45,30

21,203,-42,30

21,208,-39,30

21,222,-36,30

21,225,-33,30

21,241,-30,30

21,282,-27,30

21,333,-24,30

21,355,-21,30

21,358,-18,30

21,358,-15,30

21,360,-12,30

21,357,-9,30

21,358,-6,30

21,360,-3,30

21,357,0,30

21,356,3,30

21,356,6,30

21,353,9,30

21,354,12,30

21,353,15,30

21,354,18,30

21,353,21,30

21,352,24,30

21,361,27,30

21,352,30,30

21,353,33,30

21,362,36,30

21,353,39,30

21,353,42,30

21,356,45,30

21,354,48,30

21,353,51,30

21,355,54,30

21,342,57,30

21,318,60,30

21,474,60,25

21,466,57,25

21,465,54,25

21,462,51,25

21,457,48,25

21,413,45,25

21,430,42,25

21,423,39,25

21,379,36,25

21,378,33,25

21,399,30,25

21,400,27,25

21,391,24,25

21,387,21,25

21,383,18,25

21,379,15,25

21,381,12,25

21,382,9,25

21,384,6,25

21,387,3,25

21,388,0,25

21,395,-3,25

21,399,-6,25

21,405,-9,25

21,421,-12,25

21,420,-15,25

21,385,-18,25

21,355,-21,25

21,322,-24,25

21,302,-27,25

21,236,-30,25

21,215,-33,25

21,208,-36,25

21,146,-39,25

21,166,-42,25

21,188,-45,25

21,177,-48,25

21,171,-51,25

21,165,-54,25

21,168,-57,25

21,164,-60,25

21,159,-60,20

21,160,-57,20

21,162,-54,20

21,167,-51,20

21,163,-48,20

21,183,-45,20

21,191,-42,20

21,196,-39,20

21,205,-36,20

21,211,-33,20

21,219,-30,20

21,283,-27,20

21,306,-24,20

21,332,-21,20

21,357,-18,20

21,398,-15,20

21,408,-12,20

21,398,-9,20

21,390,-6,20

21,385,-3,20

21,382,0,20

21,376,3,20

21,373,6,20

21,379,9,20

21,372,12,20

21,372,15,20

21,374,18,20

21,376,21,20

21,380,24,20

21,382,27,20

21,391,30,20

21,392,33,20

21,367,36,20

21,376,39,20

21,401,42,20

21,398,45,20

21,436,48,20

21,451,51,20

21,466,54,20

21,484,57,20

21,513,60,20

21,495,60,15

21,485,57,15

21,467,54,15

21,448,51,15

21,434,48,15

21,425,45,15

21,377,42,15

21,370,39,15

21,362,36,15

21,356,33,15

21,380,30,15

21,374,27,15

21,371,24,15

21,366,21,15

21,361,18,15

21,359,15,15

21,358,12,15

21,358,9,15

21,360,6,15

21,369,3,15

21,365,0,15

21,369,-3,15

21,374,-6,15

21,380,-9,15

21,391,-12,15

21,401,-15,15

21,367,-18,15

21,341,-21,15

21,311,-24,15

21,290,-27,15

21,225,-30,15

21,215,-33,15

21,204,-36,15

21,190,-39,15

21,186,-42,15

21,177,-45,15

21,188,-48,15

21,201,-51,15

21,65,-54,15

21,60,-57,15

21,133,-60,15

21,68,-60,10

21,62,-57,10

21,58,-54,10

21,189,-51,10

21,180,-48,10

21,163,-45,10

21,156,-42,10

21,113,-39,10

21,105,-36,10

21,108,-33,10

21,216,-30,10

21,278,-27,10

21,303,-24,10

21,321,-21,10

21,353,-18,10

21,394,-15,10

21,392,-12,10

21,383,-9,10

21,375,-6,10

21,370,-3,10

21,366,0,10

21,362,3,10

21,363,6,10

21,358,9,10

21,358,12,10

21,364,15,10

21,359,18,10

21,360,21,10

21,366,24,10

21,370,27,10

21,373,30,10

21,348,33,10

21,359,36,10

21,366,39,10

21,373,42,10

21,402,45,10

21,425,48,10

21,436,51,10

21,452,54,10

21,470,57,10

21,494,60,10

21,499,60,5

21,481,57,5

21,458,54,5

21,446,51,5

21,432,48,5

21,405,45,5

21,371,42,5

21,366,39,5

21,357,36,5

21,351,33,5

21,371,30,5

21,370,27,5

21,365,24,5

21,361,21,5

